epoch,train_loss,val_loss,val_iou,learning_rate
1,0.20818919920125528,0.11902585823930079,0.6835677311305077,4.98657864365227e-05
2,0.0941298459673227,0.0927838909049188,0.7197185322161643,4.946461621797824e-05
3,0.07798174515994112,0.08494617080976886,0.7617032056854617,4.880088464923127e-05
4,0.07441305340097476,0.07796674768530554,0.7646054668772605,4.7881863712243726e-05
5,0.06754676064002364,0.07687544870761133,0.7611362165020358,4.671762239271876e-05
6,0.06446949760746679,0.07201107759629527,0.7687793768221333,4.532091636218622e-05
7,0.061066067203425375,0.07023690767105549,0.7834508553627999,4.370704822419616e-05
8,0.05705601507697695,0.06587517033180883,0.7768891271083586,4.1893699855792026e-05
9,0.054217652327591376,0.0635626801560002,0.796766504164665,3.990073868116559e-05
10,0.052128302150382576,0.06720197128672753,0.792718896942754,3.775e-05
11,0.05024012878510473,0.06524790126469827,0.7929792240742715,3.546504775535711e-05
12,0.04823841261727515,0.0625127463210975,0.7900906435904964,3.307091636218621e-05
13,0.04607872284054222,0.06503683070261632,0.8064801567985166,3.05938364250351e-05
14,0.04473587493395506,0.05962266196166315,0.815434371271441,2.806094735005751e-05
15,0.04280367297350719,0.06213968884079687,0.8093782173049066,2.5500000000000003e-05
16,0.04063004180521948,0.06183389736519706,0.8153244449246314,2.2939052649942493e-05
17,0.03952263825068978,0.06061872797867944,0.8114685223948571,2.0406163574964894e-05
18,0.037807341785200184,0.05772641499436671,0.82118163570281,1.792908363781379e-05
19,0.03622779501501911,0.05852688866997919,0.8168348247005094,1.5534952244642897e-05
20,0.035093635243887755,0.05745122954249382,0.8253963753100364,1.3250000000000007e-05
21,0.034122998312142376,0.0570615402633144,0.8266474604606628,1.1099261318834413e-05
22,0.03311897289862449,0.057553897101071574,0.8289938732500999,9.106300144207984e-06
23,0.03228013609839757,0.057535596312053745,0.8265081346035004,7.292951775803846e-06
24,0.03157694409784984,0.05718012748947067,0.8294991322102085,5.679083637813792e-06
25,0.03125681294008128,0.058584202020879717,0.8311929981554708,4.2823776072812535e-06
26,0.030670309751411384,0.05855012456736257,0.8318975721636126,3.1181362877562775e-06
27,0.03013570449151446,0.057690593263795296,0.8335206998932746,2.1991153507687394e-06
28,0.030051281802543177,0.05858279962933833,0.8336529347204393,1.5353837820217611e-06
29,0.029882422314562892,0.05792546524636207,0.8321768506880729,1.1342135634773018e-06
30,0.029688071613083178,0.057619740285219684,0.8319482322662107,1e-06
